patent_id,mainclass_id
3930271,2
3930271,473
3930272,5
3930272,248
3930272,403
3930273,5
3930274,114
3930274,220
3930276,15
3930276,104
3930277,15
3930278,15
3930279,15
3930280,15
3930280,132
3930280,401
3930281,15
3930282,452
3930283,452
3930283,99
3930284,452
3930285,19
3930286,222
3930286,220
3930286,383
3930287,24
3930288,24
3930289,24
3930289,984
3930290,114
3930290,24
3930290,294
3930291,28
3930291,242
3930292,28
3930293,29
3930293,8
3930293,28
3930295,29
3930295,269
3930296,29
3930296,242
3930297,29
3930297,81
3930297,206
3930297,221
3930297,226
3930297,227
3930298,29
3930298,285
3930299,29
3930299,227
3930300,438
3930300,148
3930300,257
3930301,29
3930301,409
3930303,438
3930303,257
3930304,438
3930304,148
3930304,219
3930304,257
3930304,323
3930304,338
3930305,438
3930305,257
3930306,29
3930306,228
3930306,257
3930306,438
3930307,29
3930308,29
3930309,30
3930310,30
3930311,433
3930312,433
3930313,33
3930314,33
3930315,33
3930316,42
3930317,33
3930317,89
3930319,34
3930320,34
3930321,434
3930321,273
3930322,36
3930323,37
3930323,198
3930323,474
3930324,37
3930324,324
3930326,40
3930327,40
3930328,43
3930329,81
3930329,43
3930329,249
3930330,43
3930330,24
3930331,446
3930331,434
3930332,446
3930332,244
3930332,416
3930333,446
3930334,47
3930334,40
3930334,239
3930334,248
3930335,47
3930336,49
3930336,292
3930337,49
3930338,49
3930338,52
3930339,49
3930340,451
3930341,451
3930342,451
3930343,451
3930344,52
3930345,52
3930345,248
3930345,267
3930346,52
3930347,52
3930347,165
3930348,52
3930349,52
3930350,53
3930351,53
3930351,414
3930352,53
3930353,53
3930354,56
3930355,56
3930356,57
3930357,57
3930357,28
3930358,368
3930358,968
3930359,200
3930359,368
3930359,968
3930360,368
3930360,968
3930361,368
3930361,968
3930362,368
3930362,464
3930362,968
3930363,368
3930363,194
3930363,340
3930363,968
3930364,224
3930365,60
3930366,60
3930367,60
3930367,290
3930368,60
3930369,60
3930370,60
3930371,376
3930371,60
